emoticon_code,description,emoticon_type
◌⑅⃝ℋ⍲ᵖᴘᵞ ℬⁱᖇᐪમᵈ੨ყ♡ෆ ͙ ⁎♡⑅⃝◌,sinh nhật,kaomoji
◌⑅⃝ℋ⍲ᵖᴘᵞ ℬⁱᖇᐪમᵈ੨ყ♡ෆ ͙⁎♡⑅⃝◌,giáng sinh,kaomoji
◌⑅⃝●♡⋆♡⃝ ˻˳˯ₑ ♡⃝⋆●♡⑅⃝◌,trái tim,kaomoji
◌⑅⃝●♡⋆♡⃝ ˻˳˯ₑ♡⃝⋆● ♡⑅⃝◌,trái tim,kaomoji
◌⑅⃝●♡⋆♡⃝ ˻˳˯ₑ♡⃝⋆●♡⑅⃝◌,trái tim,kaomoji
◌⑅⃝♡*ℋᵅᵖᵖᵞ* ♡⑅⃝◌,trái tim,kaomoji
◌⑅⃝♡*ℋᵅᵖᵖᵞ*♡⑅⃝◌,trái tim,kaomoji
◌◴👺◴◌,quỷ dữ,kaomoji
◍ Ƹ̵̡Ӝ̵̨̄Ʒ ◍,bươm bướm,kaomoji
◍(>ω<❀),hoa,kaomoji
◍cʕ•ᴥ•cʔ,con gấu,kaomoji
◍ヾ(´●∀●｀)ﾉ,mỉm cười,kaomoji
◎ ԅ(‹o›Д‹o›ԅ),chỉ,kaomoji
◎(▼●▼)◎,kính,kaomoji
◎(▼●▼)◎ｙ－゜゜゜,kính,kaomoji
◎[▪‿▪]◎,mỉm cười,kaomoji
◎[▪‿▪]◎/,mỉm cười,kaomoji
◎o◎?,con gấu,kaomoji
◎ʕಠᴥಠʔ◎,con gấu,kaomoji
◎ヽ(^･ω･^=)~,con mèo,kaomoji
◎ﾉω・`)ｂ｛Good+Mornig｝,ngón tay cái_up,kaomoji
●  ︿  ●,buồn,kaomoji
● ฅ(=・㉨・ฅ=),con mèo,kaomoji
● ฅ(・㉨・ฅ),con mèo,kaomoji
● ฅ(・㉨・ฅ=),con mèo,kaomoji
●*○ｇｏｏｄ ヾ(ﾟ∀ﾟ　)三(　ﾟ∀ﾟ)ﾉﾞмｏяйｉйｇ○*●,khiêu vũ,kaomoji
●.◉,ngạc nhiên,kaomoji
●_(ﾟ ∀ﾟ )≡　ヽ(Ａ`)ﾉ≡,mỉm cười,kaomoji
●_(ﾟ∀ﾟ )≡　 ヽ(Ａ`)ﾉ≡,mỉm cười,kaomoji
●_(ﾟ∀ﾟ )≡　ヽ(Ａ`)ﾉ≡,mỉm cười,kaomoji
●_●,ngạc nhiên,kaomoji
●~*,bom,kaomoji
●~*  ε≡≡≡ ﾍ(;￣▽￣)ﾉ,đang chạy,kaomoji
●~* ε≡≡≡ ﾍ(;￣▽￣)ﾉ,đang chạy,kaomoji
●~* ε≡≡≡ﾍ(;￣▽￣)ﾉ,đang chạy,kaomoji
●~*≡≡☆ヘ(｀ω´ )ミ,sự tức giận,kaomoji
●~*⊃―(・_・ Ξ・_・)――――∞C●~*,bom,kaomoji
●~*⊃―(ﾟｰﾟ*Ξ*ﾟｰﾟ)―――∞C●~*,bom,kaomoji
●~*⌒  ヽ(´ｰ｀ ),bom,kaomoji
●~*⌒ ヽ(´ｰ｀ ),bom,kaomoji
●~*⌒☆＼(-o- ),bom,kaomoji
●~*⌒☆＼_(–* ),bom,kaomoji
●~*●~*●~*ヽ(´ー｀ヽ)(ﾉ´ー｀)ﾉ*~●*~●*~●,bom,kaomoji
●~*●~*三ヾ( >o<)ﾉ三*~●*~●,bom,kaomoji
●~*＼(-_＼)・ ・・ ε=ε=ε=┏(;-_-)┛,đang chạy,kaomoji
●~*＼(-_＼)・・ ・ε=ε=ε=┏(;-_-)┛,đang chạy,kaomoji
●~*＼(-_＼)・・・ε=ε=ε=┏(;-_-)┛,đang chạy,kaomoji
●~*＼(^o＼),bom,kaomoji
●~●~●~●~＼( >o<)ﾉ⌒*~●　　～*~●　　～*~●,bom,kaomoji
●ʕ¯ᴥ¯ʔฅ,con gấu,kaomoji
●ฅʕ¯ᴥ¯ʔ,con gấu,kaomoji
●ᗜ●,mỉm cười,kaomoji
●ᴥ●,chó,kaomoji
●‿●,mỉm cười,kaomoji
●○ТНДЙК (oﾟ∀ﾟo)УﾛЦ♪○●,âm nhạc,kaomoji
●ヽ(´･д･` )ﾉ●,đang chạy,kaomoji
●ヽ(ﾟ ∀ﾟ )ﾉ●,mỉm cười,kaomoji
●ヽ(ﾟ ∀ﾟ)ﾉ●,mỉm cười,kaomoji
●ヽ(ﾟ∀ﾟ)ﾉ●,mỉm cười,kaomoji
●ヽ(ﾟ∀ﾟヽ )♪♪( ノﾟ∀ﾟ)ノ●,âm nhạc,kaomoji
●ヽ(ﾟ∀ﾟヽ)♪♪(ノﾟ ∀ﾟ)ノ●,âm nhạc,kaomoji
●ヽ(ﾟ∀ﾟヽ)♪♪(ノﾟ∀ﾟ)ノ●,âm nhạc,kaomoji
●︿●,buồn,kaomoji
●︿●),buồn,kaomoji
●﹏●,buồn,kaomoji
●﹏●),buồn,kaomoji
●＼(*_*＼ʋ) ԅ(*_*ԅ),bóng rổ,kaomoji
●＼(x_x＼ʋ) ԅ(≖o≖ԅ),bóng rổ,kaomoji
●＼(•̀_•́＼ʋ) ԅ(´ ❥ `ԅ),trái tim,kaomoji
●＼(•̀_•́＼ʋ) ԅ(•̀_•́ԅ),bóng rổ,kaomoji
●＼(•̀_•́＼ʋ) ԅ(≖o≖ԅ),chỉ,kaomoji
●＼(•̀_•́＼ʋ) ＼(*ᴥ*＼ʋ),chó,kaomoji
●＼(•̀❥•́＼ʋ) ԅ(´ ❥ `ԅ),bóng rổ,kaomoji
●＼ʕ-ᴥ◕＼ʔ,con gấu,kaomoji
●＼ʕ·ᴥ·＼ʔ,con gấu,kaomoji
●＼ʕ·㉨·＼ʔ,con gấu,kaomoji
●＼ʕ◕ᴥ◕＼ʔ,con gấu,kaomoji
●～,bom,kaomoji
●～*,bom,kaomoji
●～*°゜°。｡ヾ(≧∇≦o),bom,kaomoji
◑ω◑)☞♡☜(◐ω◐,trái tim,kaomoji
◑ω◑)☞♥,trái tim,kaomoji
◔ ⌣ ◔,mỉm cười,kaomoji
◔̯  ◔,nháy mắt,kaomoji
◔∀◐,mỉm cười,kaomoji
◔◡◔,mỉm cười,kaomoji
◔◡◔(=∩_∩=),mỉm cười,kaomoji
◕ ‿ ◕✿,hoa,kaomoji
◕ ヮ ◕) ﾉ *: ・ ﾟ ✧,mỉm cười,kaomoji
◕_◕✾,hoa,kaomoji
◕o◕,ngạc nhiên,kaomoji
◕ฅʕ⁰̈ᴥ⁰̈ ʔ,con gấu,kaomoji
◕ᆺ◕✾,hoa,kaomoji
◕ᗜ◕,mỉm cười,kaomoji
◕ᴥ◕,niêm phong,kaomoji
◕ᴥ◕ʋ),chó,kaomoji
◕‿-)✌,mỉm cười,kaomoji
◕‿↼,nháy mắt,kaomoji
◕‿↼),nháy mắt,kaomoji
◕‿◕,mỉm cười,kaomoji
◕‿◕(^L^)(^L^),mỉm cười,kaomoji
◕‿◕),mỉm cười,kaomoji
◕︵◕,buồn,kaomoji
◕ﻌ◕ฅ,con mèo,kaomoji
◖ |◔◡◉| ◗,mỉm cười,kaomoji
◖(●ω●)◗,âm nhạc,kaomoji
◖(●。●)◗♪♫♬,âm nhạc,kaomoji
◖| ◔◡◉ |◗,mỉm cười,kaomoji
◖|´`*|·˳♪˚♫,tường,kaomoji
◖|◔◡◉|◗,mỉm cười,kaomoji
◖ฺ|´⌣`*|◗·˳♪⁎˚♫,âm nhạc,kaomoji
◖⎚∠⎚◗,kính,kaomoji
◘_◘),kính,kaomoji
◙  ‿  ◙,mỉm cười,kaomoji
◙ ‿ ◙,mỉm cười,kaomoji
◙ ◙,radio,western
◙‿ ◙,mỉm cười,kaomoji
◙‿◙,mỉm cười,kaomoji
◙‿◙),mỉm cười,kaomoji
◙▒◙ ♫♩♬,radio,kaomoji
◙▒◙♫♩♬,radio,kaomoji
◙♩ ◙♫,radio,kaomoji
◛φ(^∇^ ),viết,kaomoji
◛φ(♡U♡ ),trái tim,kaomoji
◛φ(♥U♥ ),trái tim,kaomoji
◛φ(♥∇♥ ),trái tim,kaomoji
◛⁺♡φ(^∇^ ),trái tim,kaomoji
◜(U´•ᴥ•`)◝,chó,kaomoji
◜⌓◝,buồn,kaomoji
◝(*❤ᴗ❛ั∗)◜,trái tim,kaomoji
◝(^.^)◜,mỉm cười,kaomoji
◝(^U^)◜,mỉm cười,kaomoji
◝(^U^)◜✧,mỉm cười,kaomoji
◝(^o^)◜,hào hứng,kaomoji
◝(^u^)◜,mỉm cười,kaomoji
◝(^ω^)◜,mỉm cười,kaomoji
◝(^૩^)◜,mỉm cười,kaomoji
◝(^௰^)◜,mỉm cười,kaomoji
◝(^ᗜ^)◜,sinh nhật,kaomoji
◝(^ᗢ^)◜,mỉm cười,kaomoji
◝(^ᴗ^)◜ヾ(´°ᗨ°｀)ﾉ♫,khiêu vũ,kaomoji
◝(^ᴗ^)◜ヾ(´°‿°｀)ﾉ♫,khiêu vũ,kaomoji
◝(^‿^)◜,mỉm cười,kaomoji
◝(^∀^)◜,mỉm cười,kaomoji
◝(^∇^)◜,mỉm cười,kaomoji
◝(^⌣^)◜,mỉm cười,kaomoji
◝(^▽^)◜✧,mỉm cười,kaomoji
◝(^◡^)◜,mỉm cười,kaomoji
◝(^◡^)◜ヾ(´°ᗨ°｀)ﾉ♫,khiêu vũ,kaomoji
◝(^◡^)◜ヾ(´°ワ°｀)ﾉ♫,khiêu vũ,kaomoji
◝(^ヮ^)◜,mỉm cười,kaomoji
◝(^ꇴ^)◜,mỉm cười,kaomoji
◝(^꒵^)◜,mỉm cười,kaomoji
◝(๑⁺д⁺ ๑)◞՞,đỏ mặt,kaomoji
◝(๑⁺д⁺๑)◞՞,đỏ mặt,kaomoji
◝(๑⁺᷄д*๑)◞՞,đỏ mặt,kaomoji
◝(๑⁺᷄д⁺᷅๑) ◞՞,đỏ mặt,kaomoji
◝(๑⁺᷄д⁺᷅๑)◞՞,đỏ mặt,kaomoji
◝(๑꒪່౪̮꒪່๑)◜,đỏ mặt,kaomoji
◝(⁰▿⁰)◝(⁰0 ⁰)◟(°❝o❝)⚽₎₎✧˖°,bóng đá,kaomoji
◝(◕ᴗ◕ )◜,mỉm cười,kaomoji
◝(◕ᴗ◕✿),hoa,kaomoji
◝(◕ᴗ◕✿)◜,hoa,kaomoji
◝(◕◡◕ )◜,mỉm cười,kaomoji
◝(✧▽✧)◜,hào hứng,kaomoji
◝(｡✺‿✺｡)◜,hoa,kaomoji
◝ʕ •ᴥ• ʔ◜,con gấu,kaomoji
◝₍⁽෴ֹ⁾₎◜,ria,kaomoji
◝◝(ⓗⓐ◍•ᴗ•◍ⓟⓟⓨ)◜◜,mỉm cười,kaomoji
◞(⚭·̫⚭)˩✧,salute_wave,kaomoji
◞(⚭⃚⃙͐·̫⚭⃚⃙͐)˩✧,salute_wave,kaomoji
◞(､ᐛ)ﾍ＿/,máy tính,kaomoji
◞︿◟,buồn,kaomoji
◟( ˊ̱˂˃ˋ̱ )◞♡⃛◟( ˊ̱˂˃ˋ̱ )◞,trái tim,kaomoji
◟( ͡° ʃヮɭ ͡° )ﾉ,lenny,kaomoji
◟( ͡° ʃヮɭ ͡°)ﾉ,lenny,kaomoji
◟(-ഌ-)◞,con lợn,kaomoji
◟(0ᗜ0●)◞,mỉm cười,kaomoji
◟(°Ꮂ°o),koala,kaomoji
◟(๑•́ ᵕ •̀๑),đỏ mặt,kaomoji
◟(⇀U↼)◞ฅ(=•́ܫ•̀=),con mèo,western
◟(⇀U↼)◞✧^•ﻌ•^,con mèo,kaomoji
◟(●´3`◞☆★´ε`●)◞,hôn,kaomoji
◟(◔-◔)◞ ༘♡,trái tim,kaomoji
◟(ꉺᴗꉺ๑◝),sự tức giận,kaomoji
◟(｡´௰`)◞३*¨♪,âm nhạc,kaomoji
◟ʕ ´∀` ʔ◞,con gấu,kaomoji
◟ʕ´∀`ʔ◞,con gấu,kaomoji
◟༼ຈ 3 ຈ༽◞,người đẹp,kaomoji
◟༼ຈ 3 ຈ༽◞⌒♡*:･。.,trái tim,kaomoji
◠ᵕ◠,mỉm cười,western
◠‿◠),hoa,kaomoji
◡.◡,buồn,kaomoji
◡‿◡✿,hoa,kaomoji
◡✿👚✿◡,hoa,kaomoji
◢▅◣,dơi_vampires,kaomoji
◣(´ᴥ`)◢,chó,kaomoji
◣◢)┌∩┐,ngón giữa,kaomoji
◤(¬‿¬)◤(¬‿¬)◥,cười,kaomoji
◤◡ᴥ◡◥,chó,kaomoji
◥( ฅº￦ºฅ )◤,dơi_vampires,kaomoji
◥(ºwº)◤,dơi_vampires,kaomoji
◥(ºᵥ(v ° 0°)  ★🌕 ★,dơi_vampires,kaomoji
◥(ºᵥᵥº)◤,dơi_vampires,kaomoji
◥(ºᵥᵥº)◤ ◥(ºᵥᵥº)◤ God please  ╮(╯ _╰ )╭,dơi_vampires,kaomoji
◥(ºᵥᵥº)◤(v ° ᵥᵥ°)  ★🌕 ★,dơi_vampires,kaomoji
◥(º￦º)◤,dơi_vampires,kaomoji
◥(ฅº￦º ฅ)◤,quỷ dữ,kaomoji
◥(ฅº￦ºฅ)◤,quỷ dữ,kaomoji
◥(•̀￦•́)◤,dơi_vampires,kaomoji
◥▅◤,dơi_vampires,kaomoji
◥█̆̈,uống,kaomoji
◥█̆̈◤,uống,kaomoji
◦°˚(´•̛ᴗ•̛`)/˚°◦,mỉm cười,kaomoji
◦°˚\(*❛ ‿ ❛)/˚°◦,mỉm cười,kaomoji
◦°˚\(*❛‿❛)/˚°◦,mỉm cười,kaomoji
◦°˚\(*❛‿❛)/˚°◦ʕᵔᴥᵔ✿ʔ,con gấu,kaomoji
◪ _ ◪,kính,kaomoji
◪_◪,kính,kaomoji
◪_◪),kính,kaomoji
◪_◪-),kính,kaomoji
"◭,◭",ngạc nhiên,kaomoji
◯０o。(ー。ー)y,thuốc lá,kaomoji
☀       (̿▀̿ ̿Ĺ̯̿̿▀̿ ̿)̄  ▨-▨¬(*ー*)♡,kính,kaomoji
☀     (・ω-)/    ▨-▨¬(*ー*)♡,kính,kaomoji
☀   (✿°3°)≧ᴗ≦✿)*:･ﾟ✧   👓 ♡,hoa,kaomoji
☀  🌵 (°0°)🌵 ♡(≧ᴗ≦✿)     :🌵   👓 ♡,hoa,kaomoji
☀ (̿▀̿ ̿Ĺ̯̿̿▀̿ ̿)̄,kính,kaomoji
☀(̿▀̿ ̿Ĺ̯̿̿▀̿ ̿),kính,kaomoji
☀(̿▨-▨¬)̄,kính,kaomoji
☀(▀U ▀-͠),kính,kaomoji
☀(▀U▀-͠),kính,kaomoji
☀(▀Ĺ̯ ▀-͠ ),kính,kaomoji
☀(▀Ĺ̯ ▀-͠),kính,kaomoji
☀(◍>ω<)(▀U▀-͠),kính,kaomoji
☀(◍oωo)cʕ•ᴥ•cʔ,con gấu,kaomoji
☀(◍oωo)⊂(´ω`⊂ ),ôm,kaomoji
☀= ^ ･ ｪ ･ ^ =)) ﾉ 彡 ☆,con mèo,kaomoji
☀（ ´Ｏ｀）,buồn,kaomoji
☀（ ´Ｏ｀）～,buồn,kaomoji
☀🌴,bãi biển,western
☀🌴(▀Ĺ̯ ▀-͠ ),kính,kaomoji
☀🌴(▼ω▼o),kính,kaomoji
☀🌴(💮■-■),hoa,kaomoji
☀🌴(💮■-■) ۝ ۶( ❛ö❛)۶,hoa,kaomoji
☀🌴༼▀̿ Ĺ̯▀̿༽,kính,kaomoji
☀🌴🌴(💮■-■)🍹,hoa,kaomoji
☁ ▅▒░☼‿☼░▒▅ ☁,mỉm cười,kaomoji
☁ ☁ ☝(ˆ~ˆ)☂☁ ☁,chỉ,kaomoji
☁ ☝ ˆ~ˆ☂,chỉ,kaomoji
☁ ☝ˆ~ˆ☂,chỉ,kaomoji
☁(((^^))) ▅▒░☼‿☼░▒▅(( ☁)),mỉm cười,kaomoji
☁(͡ ° ʖ̯ ͡ °)☁,buồn,kaomoji
☁️    ☁️   ♡ (✿◕૩◕)爻(＾▿＾   ) ♡☁️☁️,hoa,kaomoji
☁️☁️   😎   (0_0 )  (◕o◕✿)☂☁️☁️,hoa,kaomoji
☁️☆彡☆ ♡ ☁️(✿˶˘³˘)♡(˘ε❛˶  ),hoa,kaomoji
☁️☆彡☆彡 ℒ𝓸𝓿𝒆  𝔂𝓸𝓾 ♡ ☁️☆彡☆彡,trái tim,kaomoji
☁️☼¸.•* ♡ ☁️(✿˶˘³˘)♡(˘ε❛˶  ) ♡¸.•*,hoa,kaomoji
☁️、ヽ｀、💗(ﾟ∀ﾟ∩)💗(◕o◕✿)☂｀｀ ヽ｀,hoa,kaomoji
☁🏀☁,bóng rổ,kaomoji
☂🍅 🍅☂,đồ ăn,kaomoji
☄(◕ᴥ◕ʋ)☄,chó,kaomoji
☄✿ڿڰۣ—☄,hoa,kaomoji
☄🥓☄,đồ ăn,kaomoji
☄🦋-🦋☄,bươm bướm,kaomoji
★ (°ω°✿),hoa,kaomoji
★ * ♡ ─ ☆-- ｡♡ * ﾟ--｡-- ★ * ♡,trái tim,kaomoji
★( ●ゝω・),nháy mắt,kaomoji
★(0ω0✿),hoa,kaomoji
★(>ω0✿),hoa,kaomoji
★(>ω<✿),hoa,kaomoji
★(>ωo✿),hoa,kaomoji
★(>ω°✿),hoa,kaomoji
★(>ω⊙),nháy mắt,kaomoji
★(^ↀᴥↀ^),con mèo,kaomoji
★(°ω°✿),hoa,kaomoji
★(°ω˘✿),hoa,kaomoji
★(˘ε˘˶☆ ),đỏ mặt,kaomoji
★(˘ω°✿),hoa,kaomoji
★(˘ω˘✿),hoa,kaomoji
★(๑˘З(˘ ⌣ ˘๑)★,đỏ mặt,kaomoji
★(✧∇✧)★,hào hứng,kaomoji
★(✿˘U˘),hoa,kaomoji
★(✿˘U˘)★,hoa,kaomoji
★(✿˘▿˘),hoa,kaomoji
★(｀ 皿 ´)｡ ﾐ /★,sự tức giận,kaomoji
★*:･ﾟ✧( ｡+･`ω･´)★*:･ﾟ✧,sự tức giận,kaomoji
★*:･ﾟ✧(≧ワ≦✿),hoa,kaomoji
★*:･ﾟ✧ฅ(≅ᆽ≅)ฅ★*:･ﾟ✧,con mèo,kaomoji
★*:･ﾟ✧✺★*:･ﾟ✧,lấp lánh,kaomoji
★*:･ﾟ✧＼（`△´＼）,sự tức giận,kaomoji
★*✲.⋆ฅ(≈o ﻌ o≈)∫,con mèo,kaomoji
★*✲⋆(ﾐoᆽoﾐ),con mèo,kaomoji
★*✲⋆/ᐠ≗ᆽ≗✿ᐟ \∫,con mèo,kaomoji
★*✲⋆ฅ(≅ᆽ≅)ฅ,con mèo,kaomoji
★*✲⋆ฅ(≈o ﻌ o≈)∫,con mèo,kaomoji
★*✲⋆ฅ(≈♡o ﻌ o≈)∫,con mèo,kaomoji
★*✲⋆💌ฅ(≈o ﻌ o≈)∫,con mèo,kaomoji
★*ﾟ*ﾟ+.ﾟвуe вуeﾟ+.ﾟ☆*ﾟ* ヾ(◆’｀◇)ｼ,lấp lánh,kaomoji
★---(°▽°๑),đũa,kaomoji
★---(°▽°๑)( ͡° ͜ʖ ͡°)---★,lenny,kaomoji
★---⊂(´ω`⊂✿),hoa,kaomoji
★.:ﾟ+｡☆ (◎＾□＾)bＧＯＯＤМＯЯЙＩＧd(＾□＾◎)☆ .:ﾟ+｡★,ngón tay cái_up,kaomoji
★.:ﾟ+｡☆ (◎＾□＾)bＧＯＯＤМＯЯЙＩＧd(＾□＾◎)☆.:ﾟ+｡★,ngón tay cái_up,kaomoji
"★>d(, ,･ε´-,,)⌒☆",nháy mắt,kaomoji
"★>d(,,･ε´-,,)⌒☆",nháy mắt,kaomoji
★\(๑ .̫ ๑)/★,đỏ mặt,kaomoji
★\(๑ ★ .̫ ★ ๑)/★,đỏ mặt,kaomoji
★o(･д´･+)９”,trận đánh,kaomoji
★~ (◡ω◡✿),hoa,kaomoji
★~( ◠‿◕✿),hoa,kaomoji
★~( ◠﹏⊙✿),hoa,kaomoji
★~( ◡ω⊙✿),hoa,kaomoji
★~( ◡ω◕✿),hoa,kaomoji
★~( ◡︿⊙✿),hoa,kaomoji
★~(>ω°✿),hoa,kaomoji
★~(>ω◕✿),hoa,kaomoji
★~(>﹏◕✿),hoa,kaomoji
★~(◕◡◕✾),hoa,kaomoji
★~(◠ω°✿),hoa,kaomoji
★~(◠ω⊙✿),hoa,kaomoji
★~(◠ω◕✿),hoa,kaomoji
★~(◠‿◕✿),hoa,kaomoji
★~(◠△⊙✿),hoa,kaomoji
★~(◠△◕✿),hoa,kaomoji
★~(◠︿⊙ ✿),hoa,kaomoji
★~(◠︿⊙✿),hoa,kaomoji
★~(◠︿◕✿),hoa,kaomoji
★~(◠﹏⊙✿),hoa,kaomoji
★~(◠﹏◕✿),hoa,kaomoji
★~(◡ ﹏◡✿),hoa,kaomoji
★~(◡ω⊙✿),hoa,kaomoji
★~(◡ω◕✿),hoa,kaomoji
★~(◡ω◡✿),hoa,kaomoji
★~(◡‿⊙✿),hoa,kaomoji
★~(◡△⊙✿),hoa,kaomoji
★~(◡△◡✿),hoa,kaomoji
★~(◡﹏⊙✿),hoa,kaomoji
★~(◡﹏◕✿),hoa,kaomoji
★~(◡﹏◡✿),hoa,kaomoji
★´・ω・ｐ≪*+｡ﾟ･ⅤД￡ЁЙТΙЙЁＤДЧ･ﾟ｡+*≫ｑ・ω・｀★,sinh nhật,kaomoji
★Σd(◕◡◕),ngón tay cái_up,kaomoji
★ВУёヽ(‘∀`○)ﾉ,tạm biệt_message,kaomoji
★ВУёヽ(‘∀`○)ﾉ ВУё☆,đỏ mặt,kaomoji
★ВУёヽ(‘∀`○)ﾉВУё☆,tạm biệt_message,kaomoji
★ฅ(≅ᆽ≅)ฅ,con mèo,kaomoji
★ᴗ★,mỉm cười,western
★≡≡＼（ `△´＼ ）,sự tức giận,kaomoji
★≡≡＼（ `△´＼）,sự tức giận,kaomoji
★≡≡＼（`△´＼）,sự tức giận,kaomoji
★⌒ Ｙ⌒Ｙ⌒Ｙ⌒Ｙ⌒ ヾ(oﾟДﾟ)ﾉ,đang chạy,kaomoji
★⌒( ●ゝω・)ｂ,nháy mắt,kaomoji
★⌒(●ゝω・)ｂ,ngón tay cái_up,kaomoji
★⌒(●ゝω・)ｂTHX,ngón tay cái_up,kaomoji
★⌒ヽ( ͡° ε ͡°),lenny,kaomoji
★⌒ヽ( ͡° ε ͡°)♥,trái tim,kaomoji
★⌒ヽ(´ ❥ `),trái tim,kaomoji
★⌒ヽ(╹꒳╹)b,ngón tay cái_up,kaomoji
★⌒ヽ(●’､＾●)Kiss!,hôn,kaomoji
★★★(0ω0✿),hoa,kaomoji
★☆★☆★☆★☆★☆,lấp lánh,kaomoji
★☆☆  (ºั◡ºั)( •ω•  )(˘ʃƪ˘)(˘ʃƪ˘)(^◡^)☆( ◡́.◡̀),mỉm cười,kaomoji
★☆☆  🍦(ºั◡ºั)🍦( •ω•  )🍦(^◡^)☆( ◡-◡),đồ ăn,kaomoji
★☆。. :*:･”ﾟ★βyёヾ(*ﾟ∇ﾟ*)ﾉβyё★｡.:*:･”☆★,đỏ mặt,kaomoji
★☆。.:* :･”ﾟ★βyёヾ(⌒∇⌒)ﾉβyё★｡.:*:･”☆★,lấp lánh,kaomoji
★☆。.:*: ･”ﾟ★βyёヾ(*ﾟ∇ﾟ*)ﾉβyё★｡.:*:･”☆★,đỏ mặt,kaomoji
"★☆。.:*:･""ﾟ★βyёヾ(o･(ェ)･o)ﾉβyё★｡.:*:･""☆★",con gấu,kaomoji
"★☆。.:*:･""ﾟ★βyёヾ(⌒∇⌒)ﾉβyё★｡",lấp lánh,kaomoji
★☆。.:*:･”ﾟ★βyё ヾ(o･(ェ)･o)ﾉβyё★｡.:*:･”☆★,con gấu,kaomoji
★☆。.:*:･”ﾟ★βyёヾ(*ﾟ∇ﾟ*)ﾉβyё★｡.:*:･”☆★,đỏ mặt,kaomoji
★☆。.:*:･”ﾟ★βyёヾ(o･(ェ)･o)ﾉβyё★｡.:*:･”☆★,lấp lánh,kaomoji
★☆。.:*:･”ﾟ★βyёヾ(⌒∇⌒)ﾉβyё★｡ .:*:･”☆★,lấp lánh,kaomoji
★☆。.:*:･”ﾟ★βyёヾ(⌒∇⌒)ﾉβyё★｡.:*:･”☆★,lấp lánh,kaomoji
★☆ＧＯＯＤМＯЯМＩЙＧ☆★(+･｀ω･´)b,sự tức giận,kaomoji
★♡(˘ε˘˶☆ ),đỏ mặt,kaomoji
★♡⋆ʚ(╹.╹)ɞ★,trái tim,kaomoji
★彡 \(‾◡◝ ),mỉm cười,kaomoji
★｡･:*:･ﾟ sᴜᴘʀᴇᴍᴇʟʏ d(*❛ั ᆸ ❛ั *)b ɢᴏᴏᴅ ｡･:*:･ﾟ★,ngón tay cái_up,western
★｡･:*¯\_(ツ)_/¯*:･ﾟ★,nhún vai,kaomoji
★ﾟ+.p(☆’w｀((ЙｉｃЁ тＯ Мёёт ЧｏЦ))’w｀★)q.+ﾟ☆,lấp lánh,kaomoji
★🥃 (○゜∀。)/☆* 🍺(‘∀’  )  🍟( *･∀･ )☆*,đồ ăn,kaomoji
☆ (ﾉ*>ω<)ﾉ【☆GoodEvening☆】,morning_night_evening_message,kaomoji
☆ º°˚*☆ Have a ηice ϑay ☆º°˚*☆,lấp lánh,kaomoji
"☆ ◕ ᴗ◕)つ━━✫・*。
⊂　　 ノ 　　　・゜+.
しーーＪ　　　°。+ *´¨)
.· ´𝔩𝔢𝔱 𝔱𝔥𝔢𝔯𝔢 𝔟𝔢 𝔠𝔞ᴋ𝔢☆´¨) ¸.·*¨)
(¸.·´ (¸.·’* (¸.·’* (¸.·’* (¸.·’* (¸.·’* *¨)",đũa,kaomoji
☆ ヽ(0ヮ0)ﾉ,mỉm cười,kaomoji
☆ ヽ(0ヮ0o)ﾉ,mỉm cười,kaomoji
☆ ～('▽^人),mỉm cười,kaomoji
☆( ´ ਊ ՞ )ゞ,chim,kaomoji
☆( ๑ ᴖ ᴈ ᴖ)☆♥(❛ε❛⋆),trái tim,kaomoji
☆(*^o^)乂 (^-^*)☆,hào hứng,kaomoji
☆(*^o^)乂(^-^*)☆,hào hứng,kaomoji
☆(*^o^)乂(^.^*)☆,hào hứng,kaomoji
☆(*･ｪ･*)＞｡,đỏ mặt,kaomoji
☆(>ω・),nháy mắt,kaomoji
☆(UεU),hôn,kaomoji
☆(^ε^ ),hôn,kaomoji
☆(´0∀0｀),mỉm cười,kaomoji
☆(ŐεŐʃƪ),hôn,kaomoji
☆(ŐεŐ๑ʃƪ),hôn,kaomoji
☆(˃̣̣̥᷄⌓˂̣̣̥᷅ )彡❤️　　★彡　　☆彡　　★彡 ☆,trái tim,kaomoji
☆(˃͈ε˂͈๑),đỏ mặt,kaomoji
☆(˘///˘   ),đỏ mặt,kaomoji
☆(˘///˘),đỏ mặt,kaomoji
☆(˘//ε//˘ ),đỏ mặt,kaomoji
☆(˘/ε//˘ ),đỏ mặt,kaomoji
☆(˘ε˘ ),hôn,kaomoji
☆(˘ε˘ʃƪ),hôn,kaomoji
☆(˘ε˘˶),đỏ mặt,kaomoji
☆(ᵕ˵U˵ᵕ),đỏ mặt,kaomoji
☆(‿|‿)☆,mông,kaomoji
☆(≧∇≦),hào hứng,kaomoji
☆(◔ ں ◔ ✿),hoa,kaomoji
☆(◔ ں ◔ ✿)☆,hoa,kaomoji
☆(◕▽​◕),mỉm cười,kaomoji
☆(◕◡◕○),mỉm cười,kaomoji
☆(◕ヮ◕o),mỉm cười,kaomoji
☆(◕ヮ◕✿),hoa,kaomoji
☆(♡ε♡),trái tim,kaomoji
